Total Population,ZIP,Traffic,Haz_Waste,Pollution_Burden,Linguistic_Isolation,Poverty,Housing_Burden
5339,95380,1164.652395,0.685,65.11,15.2,64.1,26.2
5337,91204,987.5232579,2.68,68.80,33.2,41.3,27.5
4972,92324,1883.771741,0.385,64.44,16.5,62.7,29.9
7113,92410,1178.491339,0.55,57.58,19,69.5,35.1
11006,93638,1093.14832,0.31,60.81,35.7,68.6,14.7
5779,91731,1531.863351,0.46,74.10,21.4,51,31.7
4391,90044,2374.418694,0.315,64.50,13.3,50.1,28.6
5134,90003,3238.402884,0.05,55.88,20.4,63.6,33.7
2873,95340,1042.881892,0.245,54.47,NA,72.7,35.4
5353,90280,982.9633037,2.515,70.53,23.8,32,18.5
3737,90002,1126.061122,0.535,58.10,18.3,65.8,29.4
2662,95340,1156.341186,0.47,59.72,8,47.8,28.7
6635,91766,1466.886544,2.75,71.79,11.8,42.8,24.7
3701,90280,835.6237977,1.4,71.78,25.6,44.1,17.1
3339,93654,646.7282871,0.15,57.95,30.9,65.9,26.7
4001,90012,683.6233014,1.855,68.94,35.9,63,20.7
4195,90255,801.6312981,9.995,70.42,27.8,48.3,27.4
5006,90220,639.0117221,1.03,59.96,7.4,61.4,41.6
4721,92518,1701.370963,1.205,63.64,17.8,57.1,19.2
6112,91201,2364.847876,2.16,75.30,42.2,44.4,35.3
3059,90222,810.6770411,19.69,64.48,9.5,63.2,30.1
4498,90033,1663.608361,0.515,69.10,25.3,62.8,32.3
3718,90044,2797.270786,0.03,56.99,16.6,58.4,36.8
5277,90023,4050.333875,2.66,65.60,20.2,53.8,33.9
5917,90221,850.0133692,6.715,62.54,13.8,64.1,31.9
3006,92113,1429.379206,1.945,61.13,17.6,66.9,33.1
4531,90220,792.6218994,2.97,66.59,7.4,33.2,20.7
5353,90058,487.4645779,5.5,62.78,14.4,62.8,35.3
3523,90221,2336.401295,0.1,60.64,20.2,54.9,25.9
5776,90044,3162.308044,0,59.10,10.5,54,30.5
4971,93702,1609.502719,0.11,55.77,28.2,76,25.8
5664,90813,525.5394672,0.535,54.87,15.4,65.6,34.2
4590,90001,1019.759087,1.485,61.62,26.4,60.7,26.8
5838,91405,1223.664584,2.705,61.36,27.8,44.3,19.5
1580,92401,1119.861894,0.82,56.70,38.2,74.5,20.1
4805,90221,788.2341464,2.775,60.25,13.8,55.9,24.8
3087,91605,1078.155377,0.555,62.97,24.1,44.7,36.9
5146,90011,626.5593905,1.265,59.86,22,61,31.4
3529,94590,1032.450718,0.775,60.70,17.6,34.6,25.2
5807,90262,2041.041484,0.375,59.87,17.5,59.2,34.8
2420,94601,1658.41929,1.43,62.31,12.9,50.1,35.5
5949,90301,1938.556275,14.625,64.66,5.2,50.6,26.7
5045,91405,1063.396908,0.785,57.71,26.2,55.1,35.2
3341,90023,3824.66063,2.36,68.15,25.8,55.2,24.7
3719,90022,2559.699566,0.525,63.95,30.1,47.9,24.6
5456,93703,2091.787221,0.36,58.68,16.2,62,32.6
4759,90011,717.1675568,0.345,60.93,16.1,62.7,39.4
4197,90061,4387.044921,0.05,58.14,12.8,65.2,30.9
4976,91766,550.9859077,1.11,64.35,30.4,54.4,41.4
4134,90744,211.6913887,0.98,60.37,21.4,58.9,32.1
4129,90813,980.0530426,0.36,53.94,25.4,64.5,29.2
5269,90026,1241.496196,0.38,70.34,27.5,64.5,24.4
3295,90222,879.757827,5.655,60.88,18.2,63.4,26.3
6881,90723,1258.047934,5.585,68.53,8.8,58,32
3623,90011,694.4065848,1.17,56.97,26.4,63.6,30.3
6246,91731,2091.666854,0.52,73.84,22.4,51.4,27
4556,90047,946.2317225,0.695,57.64,12.1,52.3,38.3
4176,91411,1256.310174,0.57,57.57,31.8,65,45.1
4750,93721,712.3277096,0.365,54.12,20.7,77.1,34.5
4439,90304,1977.605847,0.52,67.55,27.2,47.2,26.6
5259,90270,3856.826903,0.395,67.50,24.8,42.8,25.9
2157,90063,1529.021674,2.81,73.62,16.5,33.1,15.2
5077,91731,2292.788282,0.745,70.24,34.6,61.4,33.6
5000,91411,1247.91131,1.21,63.33,18.8,55.7,35.3
9434,91763,729.5381365,0.835,61.09,25.8,67.7,24.3
6167,90003,676.0721954,0.125,54.48,16.2,61.7,39.6
2856,95206,670.708918,0.375,56.78,14.9,81.5,32.5
3489,90065,2264.840515,1.18,70.39,27.5,56.1,27.7
3588,91406,3893.945275,1.275,66.82,17.2,46.5,21.1
7949,90001,788.5604294,2.37,57.11,14.8,57.4,35.3
2923,93307,131.6550903,0.4,61.07,21.8,58.2,10.6
3417,90001,807.6940767,9.99,64.40,23.2,68.9,34.8
3684,91733,2406.642418,2.27,79.24,18.7,46.4,16.9
6829,90002,468.3874688,1.41,57.64,12.3,61.1,30.9
4351,90201,1158.132247,0.82,62.32,21.3,67.7,32.2
3063,90031,2494.648197,6.795,75.45,23.3,53.2,30.7
5627,92805,2362.63245,0.81,65.69,12.2,61.1,31.4
10772,93307,696.4949013,2.845,57.87,14,62.6,22.9
5567,90037,3043.231559,0.18,56.00,26.8,68,31.5
3155,90280,3311.619175,5.285,78.37,15.6,28.5,18.1
8042,90805,743.463199,1.185,62.90,6.6,50.5,16.9
6524,90001,854.0064334,1.3,62.96,19,52.6,39.3
6163,90262,988.1238488,8.165,62.87,15.2,66.5,30.8
4121,90012,1563.55891,5.38,75.03,21.1,58.4,18.7
2277,92501,2510.906229,0.385,65.58,8.3,37.6,17.3
3626,90248,2667.957948,1.5,69.48,7,27.6,27.9
5620,95203,1394.73263,0.37,64.83,3.6,53,24.6
2692,90031,2434.411276,2.705,72.53,27.1,51.9,27.5
6638,90262,2827.882907,0.305,64.01,11.5,46.9,25
2358,90201,3653.600878,1.11,73.96,11.7,56.1,22
3357,95205,1329.485782,0.07,58.55,20.3,71.3,19.6
3270,91331,2260.072102,0.65,65.28,24.2,43.9,29.4
4952,90002,549.1181686,0.11,53.73,20.4,67.5,35.8
4687,94621,1717.311566,2.75,61.09,13.7,44.7,23
4334,95206,405.5401491,0.46,60.20,20.4,64.4,20.1
4832,91340,2115.630838,0.965,64.72,23.6,66.1,40.4
3821,91405,1190.090765,0.28,57.77,20,63.1,33.3
4489,90037,3324.181219,0.25,63.90,24.5,63.8,38.1
4717,91732,336.2833308,0.345,64.32,14.7,56.1,34.8
4512,90001,831.9389468,1.155,56.01,19.7,64.4,26.7
