Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG
26,11,26,20,3,3,2,0,0,1,0,0,5,7,0.150,0.346,0.250
27,22,25,20,3,3,1,0,0,0,0,1,3,5,0.150,0.292,0.200
29,39,116,107,8,16,0,0,6,11,1,0,8,26,0.150,0.209,0.318
24,48,174,165,13,25,3,0,2,10,4,1,9,76,0.152,0.195,0.206
35,28,74,66,6,10,3,0,0,7,0,0,5,20,0.152,0.216,0.197
28,29,80,72,7,11,3,1,0,4,5,1,7,41,0.153,0.225,0.222
32,6,16,13,3,2,1,0,0,0,0,0,3,3,0.154,0.313,0.231
39,9,27,26,1,4,1,0,0,0,0,0,1,4,0.154,0.185,0.192
23,14,41,39,4,6,1,0,1,4,0,0,1,21,0.154,0.171,0.256
26,6,14,13,2,2,1,0,0,1,0,0,1,6,0.154,0.214,0.231
23,17,29,26,2,4,0,0,0,1,0,0,2,10,0.154,0.214,0.154
33,11,28,26,2,4,1,0,0,0,0,0,2,7,0.154,0.214,0.192
27,13,27,26,1,4,0,0,0,1,0,0,1,6,0.154,0.185,0.154
27,36,108,97,9,15,4,0,4,11,0,0,9,41,0.155,0.231,0.320
33,51,136,129,10,20,3,0,3,9,0,0,4,46,0.155,0.187,0.248
28,77,237,210,19,33,9,0,6,25,3,2,21,79,0.157,0.245,0.286
31,74,82,76,12,12,3,1,3,8,0,0,6,32,0.158,0.220,0.342
33,6,19,19,0,3,0,0,0,1,0,0,0,8,0.158,0.158,0.158
28,25,78,76,9,12,8,0,1,8,0,0,1,16,0.158,0.179,0.303
28,24,78,76,8,12,8,0,1,8,0,0,1,16,0.158,0.179,0.303
28,82,273,233,32,37,4,1,12,24,2,0,40,106,0.159,0.282,0.339
26,34,93,82,6,13,1,0,1,4,0,0,9,22,0.159,0.242,0.207
25,26,75,63,10,10,1,0,2,5,0,0,11,29,0.159,0.280,0.270
32,14,27,25,1,4,0,0,0,3,1,0,0,9,0.160,0.154,0.160
28,126,410,350,48,56,8,2,19,47,3,0,56,163,0.160,0.280,0.357
23,12,26,25,1,4,2,0,0,4,0,0,1,9,0.160,0.192,0.240
27,14,29,25,1,4,1,0,0,2,0,0,3,7,0.160,0.276,0.200
37,70,191,168,18,27,4,1,7,23,1,0,17,46,0.161,0.241,0.321
28,44,137,117,16,19,4,1,7,23,1,0,16,57,0.162,0.277,0.393
29,23,40,37,8,6,1,0,0,3,4,1,3,15,0.162,0.225,0.189
24,52,162,147,13,24,5,0,3,16,5,5,12,37,0.163,0.228,0.259
29,105,338,294,26,48,4,0,7,30,2,0,25,78,0.163,0.241,0.248
31,13,54,49,6,8,0,0,1,3,1,0,4,17,0.163,0.226,0.224
31,44,64,55,11,9,0,0,0,2,3,0,8,10,0.164,0.281,0.164
26,45,96,91,7,15,1,3,0,5,6,1,4,25,0.165,0.200,0.242
23,91,260,241,18,40,5,2,3,18,2,2,15,70,0.166,0.218,0.241
20,5,14,12,3,2,1,0,1,1,0,0,2,4,0.167,0.286,0.500
24,65,238,204,21,34,10,2,5,16,4,1,30,67,0.167,0.277,0.309
28,16,39,36,5,6,2,0,3,4,1,0,2,14,0.167,0.211,0.472
27,12,16,12,2,2,0,0,0,0,0,0,4,4,0.167,0.375,0.167
